Uudenmaan vaalipiiri,Sininen tulevaisuus,49,Mies,Suomi,korkeakoulututkinto,"ruotsi,englanti,ranska"
Uudenmaan vaalipiiri,Seitsemän tähden liike,72,-,-,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Seitsemän tähden liike,37,Mies,Muu,korkeakoulututkinto,"suomi,englanti,joku muu"
Uudenmaan vaalipiiri,Seitsemän tähden liike,32,Mies,Suomi,ammattitutkinto,"suomi,englanti,espanja"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,51,Mies,Suomi,korkeakoulututkinto,englanti
Uudenmaan vaalipiiri,Keskusta,61,Nainen,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Kansalaispuolue,47,Mies,Suomi,ammattitutkinto,"suomi,englanti,viro"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,56,Nainen,Suomi,-,-
Uudenmaan vaalipiiri,RKP,36,Mies,Suomi,ammattitutkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Seitsemän tähden liike,66,Mies,Suomi,joku muu,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,37,Mies,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Kokoomus,54,Nainen,Suomi,korkeakoulututkinto,"ruotsi,englanti,saksa,joku muu"
Uudenmaan vaalipiiri,Seitsemän tähden liike,36,Mies,Suomi,ylioppilas,"suomi,englanti,venäjä"
Uudenmaan vaalipiiri,Vihreät,46,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,venäjä,joku muu"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,57,Mies,Suomi,ylioppilas,"suomi,ruotsi,englanti,saksa,ranska"
Uudenmaan vaalipiiri,Vasemmistoliitto,50,Mies,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,29,Mies,Suomi,peruskoulu,"suomi,englanti"
Uudenmaan vaalipiiri,Piraattipuolue,23,Nainen,Suomi,peruskoulu,suomi
Uudenmaan vaalipiiri,Seitsemän tähden liike,60,Mies,Suomi,joku muu,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Seitsemän tähden liike,57,Mies,Suomi,ammattitutkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Perussuomalaiset,42,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,venäjä"
Uudenmaan vaalipiiri,Vihreät,41,Mies,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Vihreät,48,Mies,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Perussuomalaiset,32,Nainen,Suomi,joku muu,"suomi,englanti,venäjä"
Uudenmaan vaalipiiri,Perussuomalaiset,35,Mies,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,53,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,51,-,-,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa"
Uudenmaan vaalipiiri,Perussuomalaiset,33,Nainen,Suomi,ammattitutkinto,"suomi,ruotsi,englanti,saksa,espanja"
Uudenmaan vaalipiiri,Perussuomalaiset,55,Mies,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Perussuomalaiset,34,Mies,Suomi,ylioppilas,"suomi,ruotsi,englanti,joku muu"
Uudenmaan vaalipiiri,Perussuomalaiset,36,Mies,Suomi,peruskoulu,"suomi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,40,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Kansalaispuolue,67,Nainen,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,57,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,55,Mies,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Liberaalipuolue,25,Mies,Suomi,ylioppilas,"suomi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,63,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,41,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska,venäjä,viro"
Uudenmaan vaalipiiri,Perussuomalaiset,53,Mies,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Perussuomalaiset,49,Nainen,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,33,Nainen,Suomi,ammattitutkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,48,Nainen,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,63,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,54,Mies,Suomi,korkeakoulututkinto,"ruotsi,englanti,venäjä"
Uudenmaan vaalipiiri,Perussuomalaiset,50,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,49,Nainen,Suomi,joku muu,suomi
Uudenmaan vaalipiiri,Perussuomalaiset,52,Mies,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Perussuomalaiset,41,Nainen,Suomi,korkeakoulututkinto,-
Uudenmaan vaalipiiri,Perussuomalaiset,68,Mies,Suomi,-,suomi
Uudenmaan vaalipiiri,Perussuomalaiset,54,-,Suomi,korkeakoulututkinto,-
Uudenmaan vaalipiiri,Perussuomalaiset,52,Mies,Suomi,joku muu,suomi
Uudenmaan vaalipiiri,Sininen tulevaisuus,32,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,RKP,59,Nainen,Ruotsi,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska,espanja,joku muu"
Uudenmaan vaalipiiri,Kansalaispuolue,36,Mies,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Suomen Kansa Ensin,23,Mies,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Vasemmistoliitto,40,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Vihreät,32,Nainen,Muu,korkeakoulututkinto,"suomi,ruotsi,englanti,saksa,ranska,venäjä,espanja"
Uudenmaan vaalipiiri,Seitsemän tähden liike,50,Mies,Suomi,ylioppilas,"suomi,ruotsi,englanti,ranska,espanja,italia"
Uudenmaan vaalipiiri,Sininen tulevaisuus,24,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,48,Mies,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,30,Mies,Suomi,ylioppilas,englanti
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,37,Mies,Suomi,korkeakoulututkinto,englanti
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,36,Nainen,Suomi,ammattitutkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,75,Mies,Suomi,korkeakoulututkinto,espanja
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,69,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi,saksa,ranska,venäjä,viro,joku muu"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,40,Mies,Suomi,ylioppilas,"ruotsi,englanti"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,49,Nainen,Suomi,ylioppilas,"suomi,ruotsi,englanti,saksa,ranska,venäjä"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,73,Mies,Suomi,korkeakoulututkinto,"suomi,ruotsi"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,29,Mies,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,71,Mies,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,69,Mies,Suomi,ammattitutkinto,"suomi,ruotsi"
Uudenmaan vaalipiiri,Suomen Kommunistinen Puolue,34,Nainen,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Eläinoikeuspuolue,37,Nainen,Ruotsi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Eläinoikeuspuolue,49,En halua kertoa,Suomi,korkeakoulututkinto,englanti
Uudenmaan vaalipiiri,Eläinoikeuspuolue,43,Nainen,Suomi,korkeakoulututkinto,"englanti,espanja"
Uudenmaan vaalipiiri,Eläinoikeuspuolue,58,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti,ranska"
Uudenmaan vaalipiiri,Eläinoikeuspuolue,33,Nainen,Suomi,korkeakoulututkinto,"suomi,englanti"
Uudenmaan vaalipiiri,Eläinoikeuspuolue,46,Nainen,Suomi,ammattitutkinto,suomi
Uudenmaan vaalipiiri,Keskusta,60,Nainen,Suomi,korkeakoulututkinto,suomi
Uudenmaan vaalipiiri,Keskusta,36,Nainen,Suomi,korkeakoulututkinto,"suomi,ruotsi,englanti"
Uudenmaan vaalipiiri,Keskusta,51,Nainen,Suomi,korkeakoulututkinto,"ruotsi,englanti,joku muu"
